item_id,title,raiting,description,price,href
p288376303, Ноутбук Acer Aspire 7 A715-42G-R3EZ (NH.QBFEU.00C) Charcoal Black, 11 відгуків ,"Екран 15.6"" IPS (1920x1080) Full HD, матовий / AMD Ryzen 5 5500U (2.1 - 4.0 ГГц) / RAM 16 ГБ / SSD 512 ГБ / nVidia GeForce GTX 1650, 4 ГБ / без ОД / LAN / Wi-Fi / Bluetooth / веб-камера / без ОС / 2.15 кг / чорний",32999,https://rozetka.com.ua/ua/acer_nh_qbfeu_00c/p288376303/
p350576070, Ноутбук ASUS TUF Gaming F15 FX506HC-HN004 (90NR0724-M00NU0) Graphite Black / Intel Core i5-11400H / RAM 16 ГБ / SSD 512 ГБ / nVidia GeForce RTX 3050, 66 відгуків ,"Екран 15.6"" IPS (1920x1080) Full HD 144 Гц, матовий / Intel Core i5-11400H (2.7 - 4.5 ГГц) / RAM 16 ГБ / SSD 512 ГБ / nVidia GeForce RTX 3050, 4 ГБ / без ОД / LAN / Wi-Fi / Bluetooth / веб-камера / без ОС / 2.3 кг / чорний",39999,https://rozetka.com.ua/ua/asus-90nr0724-m00nu0/p350576070/
p360277113, Ноутбук ASUS Vivobook 15 M1502IA-BQ313 (90NB0Y52-M00FK0) Icelight Silver / AMD Ryzen 5 4600H / RAM 8 ГБ / SSD 512 ГБ, 4 відгуки ,"Екран 15.6"" IPS (1920x1080) Full HD, матовий / AMD Ryzen 5 4600H (3.0 - 4.0 ГГц) / RAM 8 ГБ / SSD 512 ГБ / AMD Radeon Graphics / без ОД / Wi-Fi / Bluetooth / веб-камера / без ОС / 1.7 кг / срібний",23999,https://rozetka.com.ua/ua/asus-90nb0y52-m00fk0/p360277113/
p282196218, Ноутбук Acer Aspire 5 A515-45G-R9ML (NX.A8CEU.00N) Pure Silver, 60 відгуків ,"Екран 15.6"" IPS (1920x1080) Full HD, матовий / AMD Ryzen 5 5500U (2.1 - 4.0 ГГц) / RAM 8 ГБ / SSD 512 ГБ / AMD Radeon RX 640, 2 ГБ / без ОД / LAN / Wi-Fi / Bluetooth / веб-камера / без ОС / 1.77 кг / срібний",25999,https://rozetka.com.ua/ua/acer_nx_a8ceu_00n/p282196218/
p349992174, Ноутбук Lenovo IdeaPad 3 15ALC6 (82KU00NERA) Arctic Grey, 11 відгуків ,"Екран 15.6"" TN (1920x1080) Full HD, матовий / AMD Ryzen 3 5300U (2.6 - 3.8 ГГц) / RAM 8 ГБ / SSD 128 ГБ / AMD Radeon Graphics / без ОД / Wi-Fi / Bluetooth / веб-камера / без ОС / 1.65 кг / сірий",17999,https://rozetka.com.ua/ua/lenovo-82ku00nera/p349992174/
p346132435, Ноутбук Lenovo V14 G2 ITL (Intel i3-1115G4/8/128F/int/W10Pro) Black, 66 відгуків ,"Екран 14"" IPS (1920x1080) Full HD, матовий / Intel Core i3-1115G4 (3.0 - 4.1 ГГц) / RAM 8 ГБ / SSD 128 ГБ / Intel UHD / без ОД / LAN / Wi-Fi / Bluetooth / веб-камера / Windows 10 Pro / 1.6 кг / чорний",17777,https://rozetka.com.ua/ua/lenovo-intel-i3-1115g4-8-128f-int-w10pro/p346132435/
p282286938, Ноутбук Acer Aspire 7 A715-42G-R0VS (NH.QBFEU.00A) Charcoal Black, 71 відгук ,"Екран 15.6"" IPS (1920x1080) Full HD, матовий / AMD Ryzen 5 5500U (2.1 - 4.0 ГГц) / RAM 8 ГБ / SSD 512 ГБ / nVidia GeForce GTX 1650, 4 ГБ / без ОД / LAN / Wi-Fi / Bluetooth / веб-камера / без ОС / 2.15 кг / чорний",29999,https://rozetka.com.ua/ua/acer_nh_qbfeu_00a/p282286938/
p354932187, Ноутбук ASUS Laptop X515EP-BQ327 (90NB0TZ1-M04660) Slate Grey / Intel Core i3-1115G4 / RAM 8 ГБ / SSD 256 ГБ / nVidia GeForce MX330, 10 відгуків ,"Екран 15.6"" IPS (1920x1080) Full HD, матовий / Intel Core i3-1115G4 (3.0 - 4.1 ГГц) / RAM 8 ГБ / SSD 256 ГБ / nVidia GeForce MX330, 2 ГБ / без ОД / Wi-Fi / Bluetooth / веб-камера / без ОС / 1.8 кг / сірий",20899,https://rozetka.com.ua/ua/asus-90nb0tz1-m04660/p354932187/
p357787248, Ноутбук Acer Aspire 5 A515-45G-R5CN (NX.A8EEU.002) Charcoal Black, 15 відгуків ,"Екран 15.6"" IPS (1920x1080) Full HD, матовий / AMD Ryzen 3 5300U (2.6 - 3.8 ГГц) / RAM 8 ГБ / SSD 512 ГБ / AMD Radeon RX 640, 2 ГБ / без ОД / LAN / Wi-Fi / Bluetooth / веб-камера / без ОС / 1.77 кг / чорний",21999,https://rozetka.com.ua/ua/acer-nxa8eeu002/p357787248/
p245161897," Ноутбук Apple MacBook Air 13"" M1 256GB 2020 (MGND3) Gold", 204 відгуки ,"Екран 13.3"" Retina (2560x1600) WQXGA, глянсовий / Apple M1 / RAM 8 ГБ / SSD 256 ГБ / Apple M1 Graphics / Wi-Fi / Bluetooth / macOS Big Sur / 1.29 кг / золотий",42999,https://rozetka.com.ua/ua/apple_macbook_air_13_m1_256gb_2020_gold/p245161897/
